id,non-commonsense-statement,sentence1,sentence2,sentence3,label
4258,تأثير الذهاب على المسرح أمر محزن,بكاء الممثلين على المسرح يجعل الناس يشعرون بالحزن,تميل المرحلة إلى نشر السعادة بدلاً من الحزن,في بعض الأحيان هناك مشاهد حزينة على المسرح,1
4259,مونيه فيزيائي,قدم مونيه مساهمات كبيرة للأجيال القادمة,مسقط رأس مونيه هي الصين,لدى مونيه العديد من اللوحات القيمة,2
4260,يجب أن تجد جهاز كمبيوتر موجود على سطح المريخ,لا يوجد كمبيوتر على سطح المريخ,كوكب المريخ مزدحم للغاية بحيث يصعب احتوائه على جهاز كمبيوتر,الكمبيوتر غير مرئي,0
4261,غالبًا ما نضع الفرن لإيقاظنا في الليلة السابقة,يمكنك ضبط ساعة للفرن قبل البدء في الخبز,يمكننا إنهاء الفرن حتى قبل الساعة المحددة,يستخدم الفرن لخبز الأشياء ليس كمنبه,2
4262,توقيع الخبز,الخبز لم يكن الوقت المناسب للتوقيع,ليس لديك قلم للتوقيع,لا يمكن توقيع الخبز,2
4263,يصرخ دائما على الناس عندما يكون سعيدا.,الناس في مزاج جيد يصرخون على الآخرين.,يحب الصراخ على الناس.,لا يمكنه المساعدة في الصراخ على الناس.,0
4264,الطائرة أبطأ من السيارة,الطائرات والسيارات هي مركبات النقل,توفر الطائرات والسيارات الراحة للناس للسفر,سرعة الطائرة أعلى بكثير من سرعة السيارة,2
4265,من المرجح أن تجد سمكة قرش في حفرة تحت اللب,يمكن لأسماك القرش التنفس فقط في الماء ولكن ليس على الأرض,"أسماك القرش هي أفرلورد في الماء ، وليس على الأرض",لا يمكن العثور على أسماك القرش التي تعيش في الماء على الأرض,2
4266,"هذا مصور لمجموعة من الفاكهة ، بما في ذلك التفاح والبرتقال والموز والعنب والأناناس.",المصور لا يستطيع أكل الفاكهة.,الفاكهة لا تكفي للمصور.,مصور مهنة.,2
4267,"إذا كنت تريد الاستماع ، فعليك الانتباه إلى كل ما ينتج الحرارة",قد تتضرر الآذان بسبب الحرارة,يمكن للحرارة أن تسخن الأذنين,الآذان لا تسمع الحرارة,2
4268,ستفحص شيئًا لأنه بسيط,يمكن أن يكون الفحص في الوقت المناسب عند القيام بالأشياء فقط في حالة,لا تحتاج إلى فحص الأشياء البسيطة,عادة ما يقوم الناس بفحص بعد الانتهاء من الأشياء,1
4269,تريد أكل الشبكة,الشبكة ليست جيدة لصحتك,لا تحب الطعام نفسه مع الشبكة,الشبكة ليست طعام,2
4270,النباح جزء من الكمبيوتر,لا يمكن للخشب إنتاج الطاقة لجهاز الكمبيوتر,لا يصنع الكمبيوتر من أي خشب,الخشب لا يحمي الكمبيوتر من الأذى,1
4271,كرة القدم مربعة,لم تظهر كرة القدم المربعة في ألعاب الناس لأنها لا تلبي المتطلبات,يبدو كل منظور لكرة القدم وكأنه دائرة بدلاً من مربع,لا يُسمح بكرة القدم في مباريات كرة القدم,1
4272,العدو هو الشخص الذي يهتم بك.,العدو هو الشخص الذي يكرهك.,العدو هو الشخص الذي يكره الجميع.,العدو هو الشخص الذي يكره كل شيء.,0
4273,يمكن أن تحتوي عيدان تناول الطعام على طعام,عيدان تناول الطعام هي واحدة من الأدوات التي لا غنى عنها للأشخاص لتناول الطعام,عيدان تناول الطعام لا تملك القدرة على احتواء الطعام,استخدام عيدان تناول الطعام يجلب راحة كبيرة للناس لتناول الطعام,1
4274,اخترنا البطيخ من الشجرة,غالبًا ما يكون البطيخ أكبر من التفاح,التفاح ينمو على الأشجار ولكن البطيخ لا,التفاحة حمراء والبطيخ أخضر,1
4275,أخي يغذي الزجاج لقطته كل يوم.,النظارات ليست غذاء للقطط,من الصعب مضغ النظارات,النظارات لا تشم رائحتها,0
4276,شيء تجده في الصحيفة هو الموسيقى,يقرأ الناس الأخبار على الهاتف الخليوي بدلاً من الصحف في الوقت الحاضر,يرغب قراء الصحف في بيئة هادئة لقراءة الصحف,لا تستطيع الصحيفة تشغيل الموسيقى لأن الموسيقى صاخبة,2
4277,عقرب الثواني أقصر من عقرب الساعة,عقرب الساعة هو الأقصر في الساعة,تختلف الساعة والعقارب في الساعة,"على مدار الساعة ، تختلف عقارب الساعة والثانية بشكل مختلف",0
4278,أخذ الملابس القذرة إلى صالة الألعاب الرياضية,كان يرتدي ملابس متسخة في صالة الألعاب الرياضية,ذهب إلى التنظيف الجاف لالتقاط ملابسه,لا يحتوي الجيم على منظف جاف,2
4279,العندليب فيل,الفيل يحتوي على العندليب,الفيل هو جزء من العندليب,العندليب هو نوع من الطيور,2
4280,الإقامة المشتركة لا توفر الكثير من العرض,"لمشاركة غرفة مع شخص ما ، يجب أن تعرض كل منكما للآخر",المرضى فقط هم من يمكنهم العيش في غرفة مشتركة,يجب على الأشخاص الذين يشاركون الغرفة أن يتعايشوا بشكل جيد مع بعضهم البعض,0
4281,يمكن لبستاني إطعام الأسد في حديقتها.,الأسود هي الأشد ضراوة.,الأسود لا يمكن الاحتفاظ به في الحديقة من قبل بستاني.,سوف يأكل الأسد البستاني.,1
4282,شيء ما قد تفعله أثناء الذهاب إلى العرض هو التحدث,يمكن للحديث أثناء العرض مشاركة مشاعرك وآرائك مع جمهور آخر,يتيح التحدث أثناء عرض الأداء لزملائك معرفة تعليقاتك في الوقت الفعلي,إن الحديث أثناء الأداء يشتت انتباه الجمهور الآخر ووقح بالنسبة لفناني الأداء,2
4283,غنت الخنازير للموسيقى في العصور القديمة.,لا تستطيع الخنازير الغناء على الموسيقى في أي وقت.,الخنازير كسولة أكثر من البشر.,لا تسمع الخنازير الموسيقى في العصور القديمة.,0
4284,يود جيمس تجربة المطعم لأن تعليقات الناس عليه سيئة,يميل المطعم ذو التعليقات السيئة إلى ألا يكون جيدًا,لا يهتم جيمس بما يعلق عليه الآخرون,المطعم قريب من منزل جيمس لذا فهو ملائم,0
4285,القمر قمر صناعي من المريخ,القمر يستمر بالدوران حول الأرض.,المريخ أكبر من القمر,الأرض أكبر من القمر,0
4286,عندما يكون الماء والمقبس معًا ستكون هناك دائرة كهربائية قصيرة,تحدث دائرة كهربائية قصيرة عندما تتعرض قابس مباشر للماء,افصل الطاقة عند مسح القابس بالماء,تذكر تجفيف القابس بورق جاف قبل استخدامه,0
4287,سان فرانسيسكو هي مدينة,سان فرانسيسكو هي واحدة من المدن المتقدمة في الولايات المتحدة,يصنف الناتج المحلي الإجمالي في سان فرانسيسكو من بين الأفضل في الولايات المتحدة,سان فرانسيسكو هي منطقة تطوير التكنولوجيا العالية ذات الشهرة العالمية,0
4288,عمري 1000 سنة,لا يمكن للبشر أن يعيشوا لمدة 1000 عام,حياة الانسان قصيرة جدا,حياة الإنسان على الأرض,0
4289,يقدم المطعم الطعام مجانًا.,لا يمكن تشغيل المطعم بدون ربح.,المطعم ينقذ الطعام اللذيذ.,المطعم يقدم خدمة رائعة.,0
4290,يمكن أن يرقص كلبي على الموسيقى.,لا يمكن لأي كلب الرقص على الموسيقى بشكل تلقائي.,كلبي مرهق لذا لا يستطيع الرقص.,كلبي أقصر من أن يرقص.,0
4291,سالي كان اسم اخر لها وهو معملة.,التدريس ليس مدرسًا.,الشخص لديه اسم واحد فقط.,سالي لا تعرف تعليم.,1
4292,فرنسا بلد في أمريكا الشمالية,تقع فرنسا في أوروبا,فرنسا وكندا لديهم مجموعات سكانية مختلفة,لدى الفرنسيين والكنديين نغمات مختلفة للبشرة,0
4293,أطلق الجاموس النار على الهندي,الجاموس لا يعرف كيف يطلق النار,إن صداقة الجاموس والهندية عميقة حقًا,الجاموس ليس لديه فرصة للقاء الهندي,0
4294,قرر جون أن يذهب إلى الحجر.,لا يستطيع جون إيجاد حجر مناسب.,لا يمكن للناس أن يدخلوا الحجر.,لا يتم توفير الحجر في متجر.,1
4295,في بعض الأحيان تتسبب قراءة المدينة الضخمة في إثارة الاهتمام.,الضخمة تعني مدينة كبيرة أو كبيرة.,لا توجد مجلات في المدن الضخمة.,الناس ليس لديهم مصلحة في الضخمة.,0
4296,ستجد شجرة في الحجر,من الصعب جدًا زراعة الأحجار,الحجارة أصعب من المروج,تنمو الأشجار فقط في العشب,0
4297,عطارد هو الكوكب الثالث في النظام الشمسي,عطارد والأرض كواكب في النظام الشمسي,يتم فصل عطارد والأرض عن طريق المريخ,عطارد هو أول كوكب في النظام الشمسي,2
4298,معلومة واحدة تسمى كتاب,في كثير من الأحيان سوف نسجل معلومات مهمة عن الكتاب,يمكننا قراءة المعلومات الموجودة على الكتاب في أي وقت حتى نتذكر,يتكون الكتاب من الكثير من المعلومات بدلاً من جزء من المعلومات,2
4299,الطبيب أنقذ الرجل الميت.,قتل الطبيب الرجل الميت.,لا أحد يستطيع إنقاذ الأموات.,مهارة الطبيب الطبية ضعيفة.,1
4300,السلة تستخدم لحمل السوائل,السائل يتسرب من السلة,يمكن استخدام السلال لعقد السوائل,سوف يتسرب السائل من الدلو,0
4301,"عندما تريد التبول ، يجب أن تذهب إلى المطبخ",المطبخ ليس حيث يتبول الناس,المطبخ أنظف من المرحاض,المطبخ والمرحاض ليسا في نفس المكان,0
4302,أحب دميتي وأنا أشاهد التلفزيون.,لا تستطيع الدمى مشاهدة أي شيء وليس لديهم مشاعر على الإطلاق.,الدمية مملة.,العرض التلفزيوني ممل.,0
4303,"إذا كنت تريد تكوين صداقات ، فيجب أن تكون شياطين",حتى الشياطين سيكون لديهم أيضًا عدد قليل من الأصدقاء,يكره شخص ما مظهر الشيطان على وجوه أصدقائه,الناس لا يميلون إلى تكوين صداقات مع الشيطان,2
4304,السيارة لوس,من المستحيل إبداع سيارة لوس,لا تزال السيارة الأنيقة لوس قيد الصنع,هيكل السيارة يجعل من الصعب حقًا أن تكون واضحًا,1
4305,يمكنك استخدام خليج عقد لحذف عنصر,يمكننا أيضًا حذف العناصر الموجودة في خليج الانتظار,لا تقم بحذف المحتويات الموجودة في الخليج بشكل اختياري,حذف العناصر ليست وظيفة حجرة الانتظار,2
4306,أخذت أمي حساء ساخن من الثلاجة,يمكن استخدام فرن الميكروويف لتسخين الطعام,الثلاجة والفرن في المطبخ,الأفران أرخص عمومًا من الثلاجات,0
4307,المحيط لديه العديد من الأشجار والنباتات.,ستأكل الأسماك في المحيط الأشجار.,المحيط لا يحتاج إلى أي نباتات.,لا توجد أي أشجار في المحيط.,2
4308,طلب توم من زملائه تسليم واجبه المنزلي إلى المدير,سلم توم واجبه المنزلي للمعلم نفسه,عادة يساعدنا المعلم على تصحيح واجباتنا المدرسية,ساعده زملاء توم في واجبه المنزلي,1
4309,ستجعل الشمس,لا أحد يستطيع أن يصنع شمس إلا الإله,ليس لديك أداة لصنع الشمس,غالبًا ما تشتري الشمس بدلاً من صنعها,0
4310,لقاء الكنغر هو بديل صحي للحوم الحمراء الأخرى.,لحم الكنغر ليس لذيذًا بما فيه الكفاية.,لقاء لا علاقة له باللحوم.,لا يمكن أن يلتقي كنغران ببعضهما.,1
4311,"عندما يقول الناس بطاطا ، طماطم ، فهذا يعني أنه لا يوجد فرق كبير",تبدو الطماطم حمراء بينما تبدو البطاطس صفراء,طعم الطماطم حامض في حين أن البطاطس لا,الطماطم مختلفة تمامًا عن البطاطس,2
4312,وقد قامت بتجهيز حارس أمن في منزلها لمراقبة قططها,حارس الأمن أكثر من اللازم لمراقبة القطط في مايو,حراس الأمن لديهم حساسية من شعر القطط حتى لا يتمكن من مراقبتها,حارس الأمن هو شخص لذلك لا يمكن تجهيزه في مكان,2
4313,يعيش الإنسان على القمر,وصل بعض البشر إلى القمر,لا توجد بيئة مناسبة للسكن البشري على القمر,يستغرق الناس وقتًا طويلاً للوصول إلى القمر,1
4314,"عندما نكون خائفين ، نكون سعداء",يشعر الناس بالسعادة ليس لأنهم خائفون,الخوف لا يجعل الناس سعداء,الخوف والسعادة نوعان من المشاعر المختلفة للحيوانات,1
4315,يمكن استخدام ملعقة في عملية القطع,يمكن استخدام ملعقة لحمل الأرز والحساء,الملعقة ليست حادة بما يكفي لقطع الأشياء,يجب غسل الملعقة بعد استخدامها,1
4316,الحقيبة لحمل الحجارة.,الحجارة أثقل من الوثائق.,لا توجد حقيبة لحمل الأحجار.,الأحجار أقل قيمة من المستندات.,1
4317,هناك نسر أصلع يقف على الشمس,لا يعرف النسر الأصلع كيف تبدو الشمس,النسر الأصلع لا يمكن أن يصل إلى ارتفاع الشمس,النسر الأصلع يحلق تحت الشمس,1
4318,التدخين مفيد للصحة,يمكن أن يسبب التدخين المرض,كثير من الناس مدمنون على التدخين,تدخين المراهقين ضار بالصحة,0
4319,قص شعرك هو للطاهي للقيام به,يقوم الطاهي بإعداد وجبات الطعام في المطبخ ولكن ليس في صالون الحلاقة,يستخدم الطباخ أواني الطبخ لإعداد وجبات الطعام وليس أدوات تصفيف الشعر,تخصص الطاهي هو إعداد وجبات الطعام ولكن لا يقوم بالشعر,2
4320,البيسبول هي رياضة تشمل فرق واحدة من اللاعبين,لا يوجد فريق ثالث في لعبة البيسبول,تتطلب لعبة البيسبول فريقين يتناوبون على الهجوم والدفاعية,هناك فريق بديل في لعبة البيسبول,1
4321,الأوراق تلتقط ضوء الشمس والماء لمساعدة الحيوانات على العيش,الأوراق خضراء,الحيوانات ليس لها أوراق,بعض الحيوانات تحب أكل الأوراق,1
4322,أول شيء تفعله عندما تذهب إلى المركز التجاري هو الخروج من المخرج,تحتوي مراكز التسوق في بعض الأحيان على مناطق دفع عند مداخلها,أول شيء تفعله في المركز التجاري هو الدخول إلى المدخل,غالبًا ما يكون مدخل مراكز التسوق مزدحمًا خلال العطلات,1
4323,"إذا كنت تريد تصفح الشبكة ، فيجب أن يكون لديك لوح ركوب الأمواج",لا يمكنك ركوب الأمواج على لوح التزلج ما لم تكن تعرف كيف تسبح,لوح ركوب الأمواج مخصص للتصفح في البحر بدلاً من تصفح الشبكة,تحتاج الشبكة إلى الكهرباء للتشغيل بينما لا تحتاج لوح التزلج,1
4324,يعيش البشر على كوكب المريخ,"حتى الآن ، ذهب البشر إلى المريخ",المريخ والبشر في النظام الشمسي,لا توجد بيئة مناسبة للسكن البشري على سطح المريخ,2
4325,العداد جزء من الأسبوع.,العداد ليس وحدة زمنية.,في الأسبوع سبعة أيام.,المتر هو وحدة صغيرة.,0
4326,الأولاد يعبرون النهر بالطيران.,لقد سئم الناس للطيران.,إنه سريع للناس للطيران.,من المستحيل أن يطير الناس.,2
4327,السجائر مفيدة للصحة.,تتسبب السجائر في تلوث الهواء.,تحتوي السجائر على القطران.,قد تسبب السجائر أمراضًا مثل السرطان.,2
4328,رفعت شيلا ذيلها,ذيل شليله ثقيل,شيلا إنسان ليس له ذيل,لا تستطيع شيلا لمس ذيلها,1
4329,يطبع جيف باستخدام جرار,الجرار مكلف للطباعة,لا يستطيع الجرار طباعة أي شيء,الجرار أكبر من أن يتم وضعه في المكتب,1
4330,الماء والجليد ليسا من نفس المادة,لا غنى عن الجليد والماء في الحياة,يمكن أن يتواجد الثلج والماء في مكان واحد في نفس الوقت,الجليد والماء شكلان من المواد المختلفة,2
4331,عادة ما تكون المزهريات مصنوعة من الذهب,الذهب مكلف للغاية لجعل المزهريات,الذهب ساطع جدا بحيث لا يصنع المزهريات,الذهب ناعم للغاية بحيث لا يصنع المزهريات,0
4332,أنا أطير,ليس لدي رخصة الطيران,لقد انتهيت من الطيران,البشر ليسوا قادرين على الطيران بدون أدوات,2
4333,الحجر له تأثير طبي,يمكن للطبيب أن يجد الحجارة في المريض,لا يمكن استخدام الحجر لعلاج المرضى,قد تجد حجر في المستشفى,1
4334,يمكنني شراء بعض الكتب من متاجر الملابس.,الكتب في محل الملابس باهظة الثمن.,الكتب في محل الملابس لا قيمة لها.,لا توجد كتب تباع في متاجر الملابس.,2
4335,"إذا وقعت في حب شخص ما ، فيمكنه أن يضربك",الحب ليس عذراً لأن يكون عنيفاً للآخرين,الرجل الذي يضرب الآخرين لا يستحق حبك,العنف سيضر بعلاقة وثيقة,0
4336,يتم إرسال المريض إلى الشرطة.,الشرطة أبعد من المستشفى.,رجال الشرطة لا يرحبون بالمريض.,الشرطة لا تعالج المرضى.,2
4337,الكربون مشع,الكربون عنصر ولكنه ليس من النوع المشع,يمكن تجميع الكربون مع العناصر المشعة,لكل من الكربون والعناصر المشعة قيمة,0
4338,قطتي تقرأ الصحف الآن.,قطتي تحب اللعب بالصحف.,لا يمكن لقط قراءة الصحف.,سوف تأكل قطتي الصحيفة.,1
4339,كان الطقس رائعا وباردا.,الطقس ليس من الضروري ان يكون رائعا دايما.,ويندي ليس هنا.,لم تشعر ويندي بالبرد.,0
4340,يمكن للمعلم تحرير مدان بالسجن,المعلم ليس لديه سلطة الحكم على المدانين,المعلم ليس لديه سلطة للعمل في السجن,لا يستطيع المعلم الحكم على المدانين في المدرسة,0
4341,إنه بارد جدًا على مدار السنة في خط الاستواء,درجة الحرارة مرتفعة في المناطق الاستوائية,هناك العديد من الغابات المطيرة الاستوائية على خط الاستواء,خط الاستواء هو أكبر دائرة على وجه الأرض,0
4342,يتم استخدام المقص للخياطة,لا يمكن استخدام المقص للتطريز,لا يمكن استخدام المقص مثل إبرة الخياطة,من السهل كسر الإبرة,1
4343,الطريق السريع ينتمي إلى الملكية الخاصة,يمكن للأشخاص القيادة بسرعة عالية على الطريق السريع,يمكن للجميع استخدام الطريق السريع حتى لا تكون ملكية خاصة,يجب على الجميع حماية الممتلكات العامة للطريق السريع,1
4344,يمكن للسلحفاة أن تسابق الشعر.,السلحفاة ليست بالشعر.,الأرنب لديه شعر أكثر من السلحفاة.,الشعر لا يمكن أن يتسابق.,2
4345,ستشبع الحظيرة لأنك تريد العيش.,الحظيرة لا يمكن أن تكون مشبعة.,الناس ليس لديهم شماعات.,الحظيرة ليست جزءًا من أجسام البشر.,2
4346,قد تجد سنًا في أذنك,يستخدم الناس أسنانهم لمضغ الطعام,الأسنان تنمو فقط داخل الفم,يستخدم الناس أسنانهم لمضغ الطعام,1
4347,يمكن أن ينكسر العشب.,الزجاج أصعب بكثير من العشب.,العشب ليس له نفس اللون مع الزجاج.,"يمكن أن يذبل العشب ، لا ينكسر.",2
4348,يمكن للكلب قراءة الكتب.,لا يوجد كلب لديه القدرة على القراءة.,الكلاب هي بفارغ الصبر لقراءة الكتب.,الكلاب تريد أكل الكتاب.,0
4349,ذهبت الطائرة إلى الفضاء الخارجي,الطائرة ليس لديها معدات للذهاب إلى الفضاء الخارجي,تحلق الطائرة أقل من سفينة الفضاء,مادة الطائرة ليست صعبة بما فيه الكفاية,0
4350,النهر هو تدفق كبير من الحجر,المياه داخل النهر واضحة للغاية,يتكون النهر من العديد من المياه,لا يمكن شرب الكثير من مياه النهر,1
4351,الماس رخيص جدا,يمكن قطع الماس بشكل جميل,"الماس، أحجار كريمة وهي غالية الثمن",كثير من الناس يحبون الماس,1
4352,الكلب حيوان بدم بارد,الكلب يبقيه دافئًا بدرجة حرارة ثابتة للجسم,الكلب حيوان ذو دم دافئ مع درجة حرارة الجسم,درجة حرارة الكلب ليست نفس درجة حرارة البيئة,1
4353,اعتقل الطفل المشتبه به,الطفل يكره المشتبه به.,الطفل يحب ما يفعله الشرطي.,الطفل صغير جدا للقتال مع المشتبه فيه.,2
4354,تستخدم سالي رذاذ الفلفل كل صباح قبل الانطلاق للعمل,رائحة رذاذ الفلفل تزعج الناس حول سالي,سالي ليست طعاما لذا لا تحتاج لرذاذ الفلفل,رذاذ الفلفل ليس نوعًا من عطر الجسم,2
4355,منزل ليس له سقف.,سقف يمكن أن يمنع المنزل من المطر.,منزل بسقف قوي.,السقف جزء من المنزل.,2
4356,درجة حرارة جسم الإنسان تتغير,درجة حرارة جسم الإنسان ثابتة عند 37 درجة مئوية,البشر لديهم نفس درجة حرارة الجسم مثل الحيوانات الأخرى,سوف يمرض البشر بدون درجة حرارة الجسم,0
4357,من المرجح أن تجد جهاز تلفزيون في المطبخ,المطبخ كبير بما يكفي لحمل جهاز تلفزيون,المطبخ غير مناسب لمشاهدة التلفزيون,سيشغل التلفزيون في المطبخ جزءًا من المساحة,1
4358,يمكنك استخدام الدراسة للاستحمام.,الاستحمام في دراسة سوف يبلل الكتب.,إنه صاخب للاستحمام في الدراسة.,عادة لا توجد معدات للاستحمام في الدراسة.,2
4359,يرسل علماء الأحياء صواريخ إلى القمر,من الصعب إطلاق الصواريخ,القمر بعيد جدًا بحيث لا تستطيع الصواريخ الوصول إليه,علم الأحياء ليس جيدًا جدًا في الفيزياء,2
4360,كان رجل حامل,يخاف الإنسان من الألم,الرجل لا يريد أن يتعلم كيف يكون حامل,الرجل ذكر ولن يكون حاملا ابدا,2
4361,هناك العديد من القطارات والزهور في المدرسة.,القطارات باهظة الثمن بالنسبة للمدرسة للشراء.,يجب إيقاف القطارات في المحطة.,لا يمكننا أن نجد الكثير من القطارات في المدرسة.,1
4362,عادة ما تؤكل البيتزا بواسطة عيدان تناول الطعام,البيتزا هي طعام غربي ولا يستخدم الغربيون عيدان تناول الطعام,يعاني العديد من الأشخاص من مشكلة في استخدام عيدان تناول الطعام,عادة ما تؤكل البيتزا بالملعقة,0
4363,الأسود هي آكلات العشب,تحب الأسود تناول الطعام النباتي,الأسد هو ملك الوحوش,توفر اللحوم للأسد الطاقة الكافية,2
4364,يمكن للسماعة توقيت السباق.,لا يتم استخدام سماعات الأذن للتوقيت.,سماعات الأذن أكثر تكلفة من المؤقتات.,سماعات الأذن أصغر من المؤقتات.,0
4365,لا أحد لديه عيد ميلاد,عيد ميلاد يوم سيء,هناك عدد قليل من الناس لديهم عيد ميلاد,الجميع تقريبا لديهم عيد ميلاد,2
4366,النقد هو للاحتفال بالترقية.,تكلفة الهدية أكثر من النقد.,لن ينتقد الناس إذا كانوا يريدون الاحتفال.,يفضل الناس هدية من النقد.,1
4367,يمكنك استخدام الماء للطبخ.,في بعض الأحيان لا نحتاج إلى الماء عند الطهي.,لا يستطيع الماء توفير الحرارة.,النار تساعد الناس كثيرا.,1
4368,لعبت الثعابين أمام السفينة في البحر.,"تعيش الثعابين دائمًا على الأرض ، لذا لا يمكنها اللعب في البحر.",يمكن للأسماك في البحر أكل الثعابين.,لا تستطيع الثعابين السباحة في الماء.,0
4369,خيبة أمل والدي في جائزتي الأولى.,لم يفز والداي بجائزة من قبل.,والداي يحبونني كثيرا.,الآباء سعداء دائما عندما يفوز أطفالهم بالجائزة الأولى.,2
4370,كان مونيه إطارًا,صور ليس لها اسم,كان مونيه مؤديًا فرنسيًا,مونيه هو اسم رسام فرنسي,2
4371,الناس أطول من الزرافات,تعيش الزرافة مع البشر على الأرض,من المستحيل أن ينمو الشخص أطول من الزرافة,بعض الناس يعتمدون على صيد الزرافات لكسب العيش,1
4372,ولد الرجل.,إنه أمر مؤلم للغاية بالنسبة للرجل أن يلد.,تلد النساء بسهولة.,لا يوجد رجل قادر على الولادة.,2
4373,من المرجح أن تجد منطقة طبخ في عيادة طب الأسنان,يمكنك إحضار الطعام المطبوخ بنفسك إلى عيادة الأسنان,لا يحتوي مكتب طب الأسنان عادةً على مناطق للطهي,يوجد شارع للطهي بجوار مكتب طب الأسنان,1
4374,يمكنك تشغيل الموسيقى بالكرة.,"يمكن للكرات إصدار أصوات ، ولكنها لا تستطيع تشغيل الموسيقى.",لعب الكرات يمكن أن يجلب لنا السعادة.,العزف على الجيتار يحتاج إلى ممارسة.,0
4375,جبل إيفرست أقل من جبل فوجي,جبل إفرست وجبل فوجي ليسا في نفس المكان,جبل إيفرست هو أعلى جبل في العالم,جبل إيفرست ليس مرتفعًا مثل جبل فوجي,1
4376,يمكنك استخدام البلاستيك لصنع وسادة,لا يمكن غسل البلاستيك في معطف وسادة,البلاستيك رقيق للغاية بالنسبة إلى وسادة مريحة,البلاستيك صعب للغاية على وسادة مريحة,2
4377,شيء تجده في مضمار السباق هو قارب,يتم كل ذلك على الأرض ثم يتم اختباره في الماء,"بعد تعطل قارب ، كان لا بد من نقله إلى الشاطئ لإصلاحه",القارب في الماء ولا يظهر على الأرض بدون مقابل,2
4378,قد تجد حجر في الغسالة,الغسالة أثقل من الحجر,لا يمكن للحجر كسر الغسالة,الغسالة أكبر من الحجر,1
4379,تريد أكل مكتب,أنت ممتلئ جدًا ولا تريد أن تأكل شيئًا,المكتب ليس لذيذًا بما فيه الكفاية,لا يستخدم المكتب كطعام لطيف,2
4380,يحتوي البلاستيك على الكالسيوم,البلاستيك والكالسيوم مادتان مختلفتان,لا يوجد كالسيوم في البلاستيك,يمكن تناول الكالسيوم ولكن لا يمكن تناول البلاستيك,1
4381,شيء تجده في البركة هو حصان,حصان يرعي بجانب بركة,الخيول لا تعيش في البرك,يقوم المربون بإطعام الخيول من الأحواض,1
4382,من المرجح أن تجد شقائق النعمان في الماء العذب,يمكن أن يجعل الماء النقي والملح بيئة شقائق النعمان,"شقائق النعمان تعيش في المياه المالحة مثل المحيط ، وليس في المياه العذبة",لم نر قط شقائق النعمان الحية في المياه العذبة,1
4383,البحث عن المعرفة سيجعلك ترغب في لعب ألعاب الفيديو,ألعاب الفيديو لا تحتوي على الكثير من المعرفة,"عند لعب ألعاب الفيديو ، من الصعب التركيز على المعرفة",ألعاب الفيديو مثيرة للاهتمام ولكنها تسبب الإدمان,0
4384,يمكنني التحدث مع الآخرين دون فتح فمي.,أحد الأشياء التي تفعلها عندما تتحدث إلى شخص ما هو فتح فمك.,من الصعب على الآخرين فهمك إذا لم تفتح فمك.,لا يمكنك إصدار صوت إذا لم تفتح فمك.,0
4385,وضع البريد الإلكتروني في الظرف,المغلف صغير جداً بالنسبة للبريد الإلكتروني,نستخدم أجهزة الكمبيوتر لإرسال رسائل البريد الإلكتروني,أرسل بريدًا إلكترونيًا إلى صديقه,1
4386,ركوب الدراجات يتطلب شرفة.,الشرفة ليست كبيرة بما يكفي لركوب الدراجات.,لم يتم العثور على التوازن في الشرفة.,لا يمكنك ركوب الدراجة على الشرفة.,2
4387,أمي تشتري لي كلمات حلفان.,لا يمكن شراء كلمات حلفان من اي مكان.,لقد أقسمت بالفعل,المحلف ليس مليئًا بالشتائم.,0
4388,لا يمكن للبشر أن يعيشوا بدون نمل,يعيش النمل والبشر على الأرض,لا يحتاج الناس إلى النمل ليعيشوا,النمل والبشر صديقان حميمان,1
4389,مارك توين عالم.,مارك توين أكثر شعبية من هوكين.,مارك توين كاتب.,مارك توين أكثر شهرة من هوكين.,1
4390,نأكل الكثير من الناس,طعم البشر ليس على ما يرام,من الصعب قطع عظام الناس,يحظر على البشر أكل البشر,2
4391,كان الطبيب ستيفن سترانج محامياً في البداية,لم يدرس الطبيب ستيفن سترينج معرفة المحامين,الدكتور ستيفن سترينج هو أقوى بطل في عالم Marvel,الدكتور ستيفن سترانج لديه عباءة حمراء ويمكنه أن يطير إلى الفضاء الخارجي,0
4392,سوف تكره نفسك عندما تتحدث مع الآخرين,لا نحب عادةً التحدث إلى الأشخاص الذين نمقتهم,كن مهذباً ولا تبغضك عندما تتحدث مع الآخرين,تظهر كراهية وجهه عندما تحدثت إليه,1
4393,ينتمي الكوبرا إلى النبات,عادة ما تكون الكوبرا مخفية بين النباتات,لا يشمل طعام الكوبرا النباتات,الكوبرا ليس لديه وظيفة النباتات,2
4394,يمكنك الرقص على طاولة,الرقص على طاولة يمكن أن يسبب الكثير من الضوضاء,الوقوف على طاولة يمكن أن يلطخها,الطاولات أكثر عرضة للرقص عليها,2
4395,واجب عمال الصرف الصحي هو حماية الناس من الأذى,عمال الصرف الصحي للحفاظ على نظافة الشارع,عمال الصرف الصحي ليسوا مدربين تدريبا جيدا للقتال,عمال الصرف الصحي ليس لديهم أدوات لحماية الناس,0
4396,من المحتمل أن تجد حصانًا في المحيط,الخيول لا تعيش في الماء,الخيول تأكل الزجاج على الأرض,الخيول لها أربعة أرجل,0
