id,sentence1,sentence2,label
5888,يسقط جاك عندما يقفز من مبنى,جاك يبقى ساكنا عندما يقفز من مبنى,0
5889,"عندما تغرب الشمس ، يستيقظ الناس","عندما تشرق الشمس ، يستيقظ الناس",1
5890,عادة ما تكون الأوراق خضراء في الصيف,عادة ما تكون الأوراق صفراء في الصيف,0
5891,يمكن للحافلة أن تطير في الهواء,يمكن للطائرة أن تطير في الهواء,1
5892,الخمور عادة يمكن أن تنعش شخص ما,القهوة عادة يمكن أن تنعش شخص,1
5893,يمكنني استخدام هاتفي للسباحة مع أصدقائي,يمكنني استخدام هاتفي للاتصال بأصدقائي,1
5894,يتزوج جون مع شقيقته الكبرى,يتزوج جون مع أفضل صديق له,1
5895,يصبح جسم توم أقصر عندما يكبر,يصبح جسم توم أطول عندما يكبر,1
5896,رأى الفراولة باللون الأسود,رأى الفراولة باللون الأحمر,1
5897,غضب عندما خانه أصدقاؤه,كان متحمسًا عندما خانه أصدقاؤه,0
5898,أسنانه مريضة لأنه أكل الكثير من الحلويات,أسنانه مريضة لأنه غالباً ما يفرشها,0
5899,يضيء الضوء ثم يضيء المنزل,يضيء الضوء ثم يظلم المنزل,0
5900,جاري عمره 100 سنة,جاري عمره 500 سنة,0
5901,يمتدح بسبب عمله الإجرامي,يمتدح بسبب عمله الكريم,1
5902,إن الإصابة بنزلة برد تجعل سيندي ممتعة,إن الإصابة بنزلة برد سيئة تجعل معاناة سيندي,1
5903,نبقى على اتصال عن طريق كتابة الرسائل,نبقى على اتصال من خلال النوم,0
5904,القرود مثل تقليد البشر,القرود مثل أكل البشر,0
5905,نأخذ دروسًا في المدرسة,نأخذ دروسًا في المرحاض,0
5906,البقاء مستيقظا يجعل المرء نعسان,البقاء مستيقظا يجعل المرء متحمس,0
5907,أوقف سيارتي عندما تتحول إشارة المرور إلى اللون الأحمر,أوقف سيارتي عندما تتحول إشارة المرور إلى اللون الأخضر,0
5908,لقد نام تيم بسبب البرنامج التلفزيوني الممل,نام تيم بسبب البرنامج التلفزيوني المثير للاهتمام,0
5909,"عندما يصاب المرء بالبرد ، يمكنه تناول بعض الأدوية المضادة للبرد","عندما يصاب المرء بالبرد ، يمكنه تناول بعض أدوية المعدة",0
5910,لا يستطيع الناس تناول الخبز بعد أن يصبح العفن,الناس يحبون أكل الخبز الذي تالفه,0
5911,شعر الرئيس بالسعادة لأن كاتبه فقد ملفًا مهمًا,غضب المدير لأن كاتبه فقد ملفًا مهمًا,1
5912,حصل على العرض لأعلى جامعة في العالم بسبب درجاته الجيدة حقا,حصل على العرض لأعلى جامعة في العالم بسبب درجاته السيئة حقا,0
5913,أنا آكل أكثر لفقدان الوزن,أتناول حمية غذائية لإنقاص الوزن,1
5914,"إذا كنت مشغولاً الآن ، أود أن أطرح عليك بعض الأسئلة","إذا كنت لا تمانع ، أود أن أطرح عليك بعض الأسئلة",1
5915,"الطقس مشمس جدًا في الخارج ، لذا يجب علينا وضع واقي الشمس","الطقس مشمس جدًا في الخارج ، لذا لا حاجة لواقي الشمس",0
5916,كانت ممتلئة لذلك رفضت الطعام بأدب,كانت ممتلئة لذا ذئبت إلى أسفل بشغف,0
5917,كان يشعر بالحر الشديد لدرجة أنه أوقف تشغيل مكيف الهواء,كان يشعر بالحر الشديد لدرجة أنه قام بتشغيل مكيف الهواء,1
5918,خط يده فظيع لذا عليه أن يلعب كثيرا,خط يده فظيع لذا يحتاج إلى المزيد من التدريب,1
5919,أنا أقصر من أنفاسي عندما أسرع خطوتي,أنا أقل من أنفاسي عندما أسرع خطوتي,0
5920,رفعت معطفي في الريح الباردة,خلعت معطفي في الريح الباردة,0
5921,وضع حوض على وجهه لغسل وجهه,وضع منشفة على وجهه لغسل وجهه,1
5922,جاك يقفز من الهاوية,جاك يقفز على الجرف,0
5923,ركوب طائرة هليكوبتر لعبور الجبال,يركب حمامة لعبور الجبال,0
5924,يضع جهاز كمبيوتر في مقلاة ويطبخه,تضع بيضة في مقلاة وتطبخها,1
5925,"قال مساء الخير ، ولوح لمعلمه بحرارة عند الفجر عندما وصل إلى المدرسة","قال صباح الخير ، ولوح لمعلمه بحرارة عند الفجر عندما وصل إلى المدرسة",1
5926,سام يشعر بالسعادة لرؤية والدته الرقيقة,سام يشعر بالحزن لرؤية والدته الرقيقة,0
5927,أنا قصير لذا لدي ميزة في عرض النموذج,أنا طويل القامة لذا لدي ميزة في عرض النموذج,1
5928,أقوم بعمل جيد في دورات الرياضيات لذلك أقوم بعمل جيد في دورات التاريخ,أقوم بعمل جيد في دورات الرياضيات وأقوم بعمل جيد في دورات التاريخ,1
5929,قررت جون أن تكبر طولًا حتى تأكل أقل,قررت جون أن تكبر طولًا حتى تأكل أكثر,1
5930,لقد غسلت لحافى فى الفندق,غطيت لحاف في الفندق,1
5931,لقد شجعني ذلك لذا كان لدي صداقة أفضل معه,لقد شجعني ذلك حتى انفصلت عنه,0
5932,عمل جاي بجد لإنهاء المهمة,لعب جاي بجد لإنهاء المهمة,0
5933,تشعر لين بالحزن بعد أن تركها أشقاؤها,تشعر لين بالسعادة بعد أن تركها أشقاؤها,0
5934,يقرأ كين عدة كتب كل يوم,يأكل كين عدة كتب كل يوم,0
5935,التفت يمينًا عند المرور على مفترق طرق,تحولت إلى اللون الأخضر عند تجاوز مفترق طرق,0
5936,يحصل على الطاقة بعد 48 ساعة من العمل المتواصل,ينهك بعد 48 ساعة من العمل المتواصل,1
5937,يتشوش ذهني بعد شرب الكثير من الكحول,يتضح ذهني بعد شرب الكثير من الكحول,0
5938,أعلنت إنجلترا الحرب على منافستها بشرف كبير,أعلنت إنجلترا الحرب على حليفها بشرف كبير,0
5939,"بسبب سنوات من الجفاف والحرب ، أصبحت إمبراطورية عدوه ضعيفة للغاية الآن","بسبب سنوات من الجفاف والحرب ، أصبحت إمبراطورية عدوه قوية جدًا الآن",0
5940,"بفضل القوة الكبيرة لمنافسيه ، إنها أفضل فرصة لا يمتلكها أبدًا لطعنه على ظهره","بفضل ضعف منافسيه ، إنها أفضل فرصة لا يمتلكها أبدًا لطعنه على ظهره",1
5941,أثار قيصر سراً خصومه في دولة العدو وسوف يسحب منافسه قيصر على العرش,أثار قيصر سراً خصومه في بلد العدو وسيضعون منافسه قيصر على العرش,0
5942,"بسبب نقص الرواتب والتدريب ، سيكون لدى أوكتافيان الآن ولاء أكثر من مرتزقه","بسبب نقص الرواتب والتدريب ، لن يكون لدى أوكتافيان الولاء من مرتزقه",1
5943,"قاد قيصر جيشه لعبور النهر ، وأمرهم بحرق النهر لمنعهم من الفرار","قاد قيصر جيشه لعبور النهر ، وأمرهم بحرق الجسور والسفن لمنعهم من الفرار",1
5944,واجه قيصر هزيمة عسكرية وحصل على الكثير من الغنائم,فاز قيصر في معركة وحصل على الكثير من الغنائم,1
5945,قبض قيصر على الكثير من السجناء واستسلموا له,أسر قيصر الكثير من السجناء الذين استسلموا لهم,0
5946,"الجو حار في الداخل ، يجب أن نشغل المدفأة","الجو حار بالداخل ، علينا تشغيل المكيف",1
5947,"إنه وقت جيد لممارسة الرياضة في الخارج ، لأنه ممطر","إنه وقت جيد لممارسة الرياضة في الخارج ، لأنه مشمس",1
5948,"بعد العشاء ، أود أن أكل الحلوى","بعد العشاء ، أود أن آكل الصحراء",0
5949,شربت الكثير من الزيت بعد تمرين شاق,شربت الكثير من الماء بعد التمرين الشاق,1
5950,"لأنها ساخنة جدا ، أود أن أسبح في الحمم البركانية","لأن الجو حار جدا ، أود أن أسبح في النهر",1
5951,"مقارنة بالأرض ، نحن صغيرون جدًا","بالمقارنة مع النملة ، نحن صغيرون جدًا",0
5952,تم تثبيت الأضواء في اجتماع لهبوط آمن,تم تثبيت الأضواء في الطائرة لهبوط آمن,1
5953,الوقوع في الحب يجعله يشعر بالسعادة,الوقوع في الماء المغلي يجعله يشعر بالسعادة,0
5954,يتم الاحتفاظ بالفطر الشخصي في الثلاجة للحفاظ على نضارته,يتم الاحتفاظ بالفطر الشخصي في الفرن ليظل طازجًا,0
5955,الرقص طريقة رائعة بالنسبة له للتعبير عن نفسه,الرقص هو طريقة رائعة له لترتد,0
5956,قطرة ماء تنتمي إلى النهر,النهر ينتمي إلى قطرة ماء,0
5957,الصحراء تنتمي إلى حبة رمل,حبة رمل تنتمي إلى الصحراء,1
5958,"الجو بارد جدا ، وسأشرب بعض الماء الساخن","الجو بارد جداً ، وسأشرب بعض الحمم البركانية",0
5959,الشمس تدور حول الأرض,الأرض تدور حول الشمس,1
5960,تم أكل عشرة خوخ وثلاثة وبقي سبعة,تم أكل عشرة خوخ وثلاثة وبقي ثمانية,0
5961,أغلق بوب عينيه وشاهد التلفزيون مع والديه,أغلق بوب فمه وشاهد التلفزيون مع والديه,1
5962,تعرض للضرب من قبل والدته لأنه لم يدرس جيدًا,تعرض للضرب من قبل والدته لأنه درس بشكل جيد,0
5963,تمطر القطط والكلاب في الخارج,يضيء القطط والكلاب في الخارج,0
5964,"عندما يصبح باردًا ، تطلب منه والدته شرب المزيد من الماء الساخن","عندما يصبح باردًا ، تطلب منه والدته شرب المزيد من الماء البارد",0
5965,"بشكل عام ، من الخطر قضاء الوقت في الشارع المظلم في الليل","بشكل عام ، من الآمن جدًا التسكع في الشارع المظلم في الليل",0
5966,كانوا يسافرون في سجادة في الهواء,كانوا يسافرون في طائرة في الهواء,1
5967,الملكة إليزابيث الثانية ملكة,الملكة إليزابيث الثانية ملك,0
5968,وقف المعلم على المنصة عندما بدأت المدرسة,وقف المعلم على المنضدة عندما بدأت المدرسة,0
5969,تشونسي يشرب الحليب,تشونسي يأكل الحليب,0
5970,يحب الحليب أكثر من أي مشروبات أخرى,يحب الخبز أكثر من أي مشروبات أخرى,0
5971,لديه عشرة أصابع على قدميه,لديه عشرة أصابع في قدم واحدة,0
5972,يستخدم قلم رصاص للكتابة,يستخدم فنجان للكتابة,0
5973,يتواصل مع والده البعيد بمصباحه الضوئي,يتواصل مع والده البعيد عن طريق هاتفه,1
5974,أكل الشطرنج,لعب الشطرنج,1
5975,لقد فقدت محفظتي في محطة مترو الأنفاق,لقد فقدت عقلي في محطة مترو الأنفاق,0
5976,يأكل الحلوى كل يوم قبل الغداء,يأكل النمور كل يوم قبل الغداء,0
5977,وضع ضفدع في درج,يطرح فيلًا في درج,0
5978,أوراق مصنوعة من الخشب,أوراق مصنوعة من الحديد,0
5979,الذئاب سهلة الانقياد بشكل طبيعي,الذئاب شرسة بشكل طبيعي,1
5980,يمكن لصندوق الموسيقى أن ينام,يمكن لصندوق الموسيقى أن يغني,1
5981,يزرع شجرة على الأرض,يزرع شجرة على البحر,0
5982,تستخدم العيون لسماع الأشياء,تستخدم العيون لرؤية الأشياء,1
5983,نحتاج المفتاح لفتح القفل,نحتاج التفاحة لفتح القفل,0
5984,الملح عادة طعم مالح,الملح عادة طعم حلو,0
5985,السمنة ضارة للإنسان,السمنة صحية للإنسان,0
5986,الجليد يمتص الحرارة عند الذوبان,يطلق الجليد الحرارة عند الذوبان,0
5987,تعيش الفئران على الأشجار,تعيش الفئران في الكهوف,1
5988,يأخذ الطلاب الدروس في النهار وينامون في الليل,يأخذ الطلاب الدروس في الليل وينامون في النهار,0
5989,يحافظ على تنين كحيوان أليف,يحافظ على الكلب كحيوان أليف,1
5990,يركض توم مسافة 100 متر في 20 ثانية,يركض توم مسافة 100 متر في ثانية واحدة,0
5991,أستحم في 40 درجة مئوية,أستحم في 200 درجة مئوية,0
5992,يتحدث الناس مع الآخرين في الصين في الصين,يتحدث الناس مع الآخرين بالفرنسية في الصين,0
5993,يحتفظ سمكة ذهبية في حوض السمك,يحتفظ بحوت في حوض السمك,0
5994,يظهر قوس قزح عادة بعد العاصفة الرملية,يظهر قوس قزح عادة بعد المطر,1
5995,هناك افيال في حديقة الحيوانات,هناك ديناصورات في حديقة الحيوان,0
5996,نستمر في التنفس مع رئتنا,نستمر في التنفس مع المعدة,0
5997,كنت غارقة في العرق لأن الشمس كانت شديدة الحرارة في ذلك اليوم,شعرت بالبرودة لأن الشمس كانت شديدة الحرارة في ذلك اليوم,0
5998,"لم يكن يعرف الكلمة الجديدة ، لذلك ذهب للعب كرة السلة","لم يعرف الكلمة الجديدة ، لذلك ذهب إلى القاموس",1
5999,فات الأوان بحيث لا يمكننا التحقق من درجات بعض الطلاب إلا,فات الأوان بحيث يمكننا التحقق من جميع درجات الطلاب,0
6000,هذه اللوحة ذات قيمة كبيرة من قبل كاتب مشهور من سلالات وي وجين,هذه اللوحة لا قيمة لها من قبل كاتب مشهور من سلالات وي وجين,0
6001,"بقيت مستيقظًا طوال الليل الليلة الماضية ، لذا فأنا نشيط اليوم","بقيت مستيقظًا طوال الليل الليلة الماضية ، لذلك غالبًا ما يتلف عقلي اليوم",1
6002,من غير اللائق النظر إلى مذكرات زميلك الشخصية,من المفترض أن ننظر إلى مذكرات زميل الدراسة الشخصية,0
6003,الكهوف لا تسمح بتصوير الفلاش,يمكن للناس استخدام أضواء الفلاش في الكهوف,0
6004,يجب أن يلتصق الأطفال بآبائهم في الحشد,يجب أن ينفصل الأطفال عن آبائهم في الحشد,0
6005,يمكننا رؤية الجناح الشرقي لأن المعرض ليس مفتوحًا للجمهور اليوم,لا يمكننا الوصول لرؤية الجناح الشرقي لأن المعرض ليس مفتوحًا للجمهور اليوم,1
6006,"ندعو إلى أنه حتى إذا لم نتمكن من السباحة ، فلا يزال يتعين علينا القيام بأعمال شجاعة من أجل التطوع",ندعو إلى أن نكون قادرين على السباحة عند القيام بأعمال شجاعة من أجل التطوع,1
6007,عانت من الآلام المفرطة,كانت تحب الشعور بالآلام المفرطة,0
6008,"لم يكن لديه مال ، لذلك اشترى الآيس كريم الذي يريد أن يأكله","لم يكن لديه مال ، لذلك لم يستطع شراء الآيس كريم الذي يريد أن يأكله",1
6009,"غالبًا ما لا يستطيع حل مسائل الرياضيات ، لذلك فهو يحب الرياضيات","غالبًا ما لا يستطيع حل مسائل الرياضيات ، لذلك يكره الرياضيات",1
6010,"تعطل جهاز الكمبيوتر الخاص به ، حتى يتمكن من تسليم واجبه المنزلي مسبقًا","تعطل جهاز الكمبيوتر الخاص به ، لذلك لم يتمكن من الوفاء بالموعد النهائي لتسليم واجبه المنزلي",1
6011,لم يستطع حل المشكلة وذهب لاستشارة زملائه,حل المشكلة وذهب ليسأل زملائه,0
6012,يجب أن نأكل الموز بعد أن يتحول إلى اللون الأسود,لا يمكن أكل الموز عندما يكون لونه أسود,1
6013,"بعد عودته إلى المنزل بعد موعد سعيد ، أغلق الباب وترك صديقته في الخارج","بعد عودته إلى المنزل بعد موعد سعيد ، فتح الباب ودعا صديقته",1
6014,جعل تأخر تسليم الطعام في الخارج متشوقًا حقًا,جعل تأخر تسليم الطعام في الخارج منزعجًا حقًا,1
6015,جاء إلى الفصل بدوائر مظلمة تحت عينيه بسبب القليل من الواجبات المنزلية التي كان لديه بالأمس,جاء إلى الصف مع دوائر مظلمة تحت عينيه بسبب الكثير من الواجبات المنزلية التي كان لديه أمس,1
6016,كانت جودة السلع التي حصلت عليها رديئة للغاية بحيث لم تعد تضع طلبًا في هذا المتجر,كانت جودة السلع التي تلقتها سيئة للغاية بحيث يمكنها تقديم طلب آخر في هذا المتجر,0
6017,أكلت شجرة كعشاء,أكلت سمكة زريعة كعشاء بلدي,1
6018,يعزف على البيانو باليد,يعزف على البيانو عن طريق الفم,0
6019,رأى فيل يأكل النباتات,رأى فيل يأكل اللحم,0
6020,يمكن شراء السلطة بالمال,الصدق يمكن شراؤه بالمال,0
6021,شرب زجاجة زيت,شرب زجاجة عصير,1
6022,الكثير من الكحول يجعل بيتر يشرب,الكثير من الكحول يجعل بيتر يقظًا,0
6023,لا يتوقعه أصدقاؤه أن يغني لأنه لا يستطيع حمل نغمة,يستمتع أصدقاؤه عندما يغني لأنه لا يستطيع حمل نغمة,0
6024,للسكك الحديدية عالية السرعة مثل هذه السرعة السريعة لقدرتها على التحليق في السماء,يمتد خط السكك الحديدية عالي السرعة بسرعة كبيرة على الأرض,1
6025,المعجبين لديهم سلسلة من الهجمات الشخصية على أصنامهم,المعجبون يحبون حقاً أصنامهم,1
6026,لباس المرأة لمرتاديها,الفتيات يهملن لباسهن عندما يتواعدن مع عشاقهن,0
6027,الفيلة مثل أكل اللحوم,الفيلة مثل أكل النباتات,1
6028,الثلج باللون الأبيض,الثلج في اللون الأسود,0
6029,يسقط المطر من الغيوم,يسقط المطر من النجوم,0
6030,الأبقار تنتج الحليب,الأبقار تنتج العصير,0
6031,القطط تفترس الأحجار والرمال,القطط تفترس الجرذان والأسماك,1
6032,هناك بعض القلويات في معدته,هناك بعض الأحماض في المعدة,1
6033,يحب الإنسان أن يكون له مظهر قبيح,يحب الإنسان أن يكون له مظهر جميل,1
6034,الكتب مصنوعة من الورق,الكتب مصنوعة من الزجاج,0
6035,يمكن العثور على النفط في السماء,يمكن العثور على النفط في باطن الأرض,1
6036,يعمل رجال الشرطة في المستشفى,يعمل الأطباء في المستشفى,1
6037,يجب أن يكون الطبيب قادرًا على الطهي,يجب أن يكون الطاهي قادرًا على الطهي,1
6038,هانك يأكل كعكة كبيرة في عيد ميلاده,يأكل هانك عيد ميلاده كبير,0
6039,يتأذى ذراعي وينزف الدم الأزرق,يتأذى ذراعي وينزف الدم الأحمر,1
6040,أشعر بالألم عندما أصبت,أشعر بالراحة عندما أصبت,0
6041,تنتج النباتات الخضراء الأكسجين,تنتج النباتات الخضراء المياه,0
6042,يرتدي حذاء على قدميه,يرتدي حذاء على اليدين,0
6043,أسنان الإنسان بيضاء بشكل طبيعي,أسنان الإنسان سوداء بشكل طبيعي,0
6044,توم يشعر بالسخونة في الشتاء,يشعر توم بالبرد في الشتاء,1
6045,الضجيج جميل,الاغنية جميلة,1
6046,الحليب يمكن أن يوقظك,القهوة يمكن أن توقظك,1
6047,يمكننا استخدام هاتفنا للسباحة,يمكننا استخدام هاتفنا للاتصال,1
6048,"عندما تشرق الشمس ، نستيقظ","عندما تغرب الشمس ، نستيقظ",0
6049,يمكننا اقتراض المال في المرحاض,يمكننا اقتراض المال في البنك,1
6050,أختي تشرب علبة كاملة من الحليب عند الظهر كل يوم,أختي تشرب زجاجة من الحليب عند الظهر كل يوم,1
6051,ولد جاك وطوله مترين,يبلغ طول جاك 18 مترا,1
6052,كيلو الحديد ثقيل مثل كيلو القطن,كيلو حديد أثقل من كيلو قطن,0
6053,أخذ القطار فائق السرعة إلى مسقط رأسه,أخذ القطار فائق السرعة إلى القمر,0
6054,معظم الناس يعملون عند شروق الشمس والراحة عند غروب الشمس,معظم الناس يعملون عند غروب الشمس والراحة عند شروق الشمس,0
6055,قررت الذهاب في عطلة يوم 30 فبراير,قررت الذهاب في عطلة يوم 27 فبراير,1
6056,والداي يطعمان منزلهما كل يوم,والداي يطعمان خيلهما كل يوم,1
6057,نمت كيت على السقف الليلة الماضية,نمت كيت على السرير الليلة الماضية,1
6058,يذهب الطبيب إلى المطار للعمل,يذهب الطبيب إلى المستشفى للعمل,1
6059,الأرض موجودة في الشمس,الأرض موجودة في الكون,1
6060,يحب أخي تناول الخبز كوجبة إفطار,أخي يحب أكل الأحذية كوجبة فطور,0
6061,أذهب إلى المستشفى بالمنزل,أذهب إلى المستشفى بالسيارة,1
6062,الفئران حيوانات صغيرة,الفئران أكبر من الإنسان,0
6063,يأكل والداي الغداء على السقف,يأكل والداي الغداء على الطاولة,1
6064,توم هي أميرة البلاد,توم هو أمير البلاد,1
6065,اليابان بلد صغير في العالم,اليابان هي أكبر دولة في العالم,0
6066,يمكن أن تعيش الجمال في الصحراء,يمكن أن تعيش الدلافين في الصحراء,0
6067,يستخدم كتاب للقراءة,يستخدم كتاب للأكل,0
6068,الجدران مصنوعة من الماء,الجدران مصنوعة من الخرسانة,1
6069,يمكن للكلب أن يشعر بالألم,يمكن للسيارة أن تشعر بالألم,0
6070,البنادق خطرة على الإنسان,البنادق مفيدة للإنسان,0
6071,أمي تأكل فطورها في الصباح,أمي تأكل فطورها في الليل,0
6072,مطعم يبيع الأدوية,مستشفى يبيع الدواء,1
6073,أمي تأكل الهاتف على العشاء,أمي تأكل تفاحة كعشاء,1
6074,ذهب إلى المنزل بدون رئتيه,ذهب إلى المنزل بدون ملابسه,1
6075,ثعبان يتحرك بالطيران,ثعبان يتحرك بالزحف,1
6076,"لقد كان على حكم بالعدام, لقتل رجل0",حكم عليه بالإعدام بتهمة شرب العصير,0
6077,الزهور تحتاج البلاستيك للعيش,الزهور تحتاج الماء للعيش,1
6078,هناك العديد من الكتب في حديقة الحيوانات,هناك العديد من الحيوانات في حديقة الحيوانات,1
6079,يقوم والدي بطهي الأطباق في المطبخ,يقوم والدي بطهي الأطباق في المرحاض,0
6080,شرب القهوة يجعله نعسان,شرب القهوة يجعله يقظًا,1
6081,عادة ما يكون لدى الإنسان خمسة أيادي,عادة ما يكون للإنسان يدان,1
6082,لدى ابني عينان كبيرتان,لدي أربع عيون كبيرة,0
6083,العناكب لديها عيون كثيرة,العناكب لها عين واحدة فقط,0
6084,يقوم بواجبه في الفصل,يقوم بواجبه على السقف,0
6085,نقوم باختبار الرياضيات في الحمام,نقوم باختبار الرياضيات في الفصل,1
6086,يلتقط صورة بواسطة الكاميرا,يلتقط صورة بواسطة فرشاة الأسنان,0
6087,جلده باللون الأزرق,جلده باللون الأسود,1
6088,يكتب تقريره بكأسه,يكتب تقريره بقلمه,1
6089,ماري ترسم الصور بالنافذة,ماري ترسم الصور بالقلم الرصاص,1
6090,الأخطبوط لديه العديد من العقول,الأخطبوط له ثلاثة قلوب,1
6091,يموت بسبب مرضه,يموت بسبب جسده السليم,0
6092,يشرب الماء بالكوب,يشرب الماء عن طريق الهاتف,0
6093,وضع بعض المربى على الخبز ليأكله,وضع بعض الاسمنت على الخبز ليأكله,0
6094,أنا أستحم في الحمام,أنا أستحم في المطبخ,0
6095,القيادة بعد الشرب قانونية,القيادة بعد الشرب غير قانونية,1
6096,من الآمن القيادة أثناء الاتصال الهاتفي,ليس من الآمن القيادة أثناء الاتصال الهاتفي,1
6097,ركوب الناس القديمة الخيول للعمل,يركب القدماء الأسود للعمل,0
6098,يمكن للناس أن يشعروا بالجاذبية على الأرض,يمكن للناس أن يشعروا بالجاذبية في الفضاء,0
6099,هناك الكثير من الكلاب في البحيرة,هناك الكثير من الماء في البحيرة,1
6100,يمكن للفراشات أن تطير في السماء,يمكن للفراشات أن تسبح في الماء,0
6101,الجليد أكثر سخونة من الماء,الجليد أكثر برودة من الماء,1
6102,الثعابين ليس لها أرجل,الثعابين لها أرجل كثيرة,0
6103,التنانين موجودة في خيالنا,التنانين موجودة في حياتنا الحقيقية,0
6104,طعم الليمون مالح,طعم الليمون حامض,1
6105,يمكن للموسيقى إيقاظ عاطفة الإنسان,يمكن للموسيقى أن تدمر جسم الإنسان,0
6106,الذهب أكثر قيمة من الفضة,الفضة أكثر قيمة من الذهب,0
6107,اشترى بعض الطعام في محل الملابس,اشترى بعض الطعام في مخزن الطعام,1
6108,يمكن للإنسان أن يعيش بدون ماء,يمكن للإنسان أن يعيش بدون فضة,1
6109,أسماك بوب في الصحراء,أسماك بوب بجوار البحيرة,1
6110,هناك الكثير من الغيوم في يوم صافٍ,هناك الكثير من الغيوم في يوم غائم,1
6111,الفئران لا تعرف الخوف,الفئران تشعر بالخوف,1
6112,الإنسان يحصل على الدهون بسبب تناول القليل من اللحوم,الإنسان يحصل على الدهون بسبب تناول الكثير من اللحوم,1
6113,يمكن للمزارعين زراعة الصواريخ في المزرعة,يمكن للمزارعين زراعة الفاكهة في المزرعة,1
6114,قوس قزح في سبعة أنواع من الألوان,قوس قزح في أربعة أنواع من الألوان,0
6115,اشرب الماء كل يوم,أنا أشرب الزيت كل يوم,0
6116,السفن لديها عجلات,السيارات لديها عجلات,1
6117,يأخذ الاستحمام في المكتبة,إنه يقرأ الكتب في المكتبة,1
6118,الماس أصعب من الذهب,الذهب أصعب من الماس,0
6119,بيتر لديه العديد من الأصدقاء لأنه محرج اجتماعيا,بيتر لديه العديد من الأصدقاء لأنه يتمتع بشعبية اجتماعية,1
6120,ملابسه متسخة لذا يغسلها,ملابسه نظيفة فغسلها,0
6121,جاك يحب أطباق الطهي في حديقته,جاك يحب زراعة الزهور في حديقته,1
6122,النار أبرد من الجليد,النار أكثر حرارة من الجليد,1
6123,تستخدم المنازل للأكل البشري,تستخدم المنازل للعيش البشري,1
6124,ممارسة الرياضة تزيد من وزن المرء,ممارسة الرياضة أكثر يجعل المرء يفقد الوزن,1
6125,المستقبل يمكن التنبؤ به,المستقبل لا يمكن التنبؤ به,1
6126,يعيش الأخطبوط في البحر,يعيش الأخطبوط في الغابة,0
6127,السمك الميت هدايا جيدة للعشاق,الورود هي هدايا جيدة للعشاق,1
6128,هناك العديد من الأشجار في الغابة,هناك العديد من الأشجار على جبل جليدي,0
6129,عادة ما يتمنى الناس عند رؤية نجم هابط,عادة ما يتمنى الناس عند رؤية الشمس,0
6130,البوم ينام في النهار,اليوم ينام في الليل .,0
6131,بعض النباتات تأكل الإنسان,بعض النباتات تأكل الحشرات,1
6132,يستخدم الغراء لربط شيئين معا,يستخدم الغراء لشربه كمشروب من قبل الإنسان,0
6133,نستخدم المجهر لرؤية الأشياء بعيدة عنا,نستخدم التلسكوب لرؤية الأشياء بعيدة عنا,1
6134,"إذا ألقيت بالنرد وحصلت على الرقم 7 ، فيمكنك الذهاب سبع خطوات إلى الأمام","إذا ألقيت النرد وحصلت على الرقم 6 ، فيمكنك الذهاب إلى الأمام بست خطوات",1
6135,والصين أكبر بلد من حيث عدد السكان في العالم.,الصين هي الدولة الأكثر سكانا في أمريكا,0
6136,يغلي الماء عند 100 درجة مئوية عند الضغط الجوي القياسي,"عند الضغط الجوي القياسي ، يكون الماء غليًا بنسبة 50٪ عند 100 درجة مئوية",0
6137,يكرهها كثيرا لدرجة أنه يدعوها لتناول العشاء الليلة,يحبها كثيرا لدرجة أنه يدعوها لتناول العشاء الليلة,1
6138,"غالبًا ما يعاقب المعلم الطلاب جسديًا ، لذلك يكرهه الطلاب بشدة","غالبًا ما يعاقب المعلم الطلاب جسديًا ، لذا يحترمهم الطلاب كثيرًا",0
6139,نستخدم لدي فراشات في معدتي لوصف شخص جائع جدا,نستخدم لدي فراشات في معدتي لوصف شخص متوتر للغاية,1
6140,"أنا قصير النظر ، لذلك لا أرتدي نظارات في الصف","أنا قصير النظر ، لذلك يجب أن أرتدي نظارات في الصف",1
6141,لم يكن في حالة سكر لأنه كان لديه قدرة شرب ضعيفة,لم يكن في حالة سكر لأنه كان لديه قدرة شرب قوية,1
6142,رواية هاري بوتر تحظى بشعبية كبيرة,هاري بوتر هو كارتون مشهور للغاية,0
6143,ستظهر الشمس أثناء المطر,سيظهر قوس قزح بعد المطر,1
6144,"مكيف الهواء مكسور ، لذا تنخفض درجة الحرارة الداخلية","مكيف الهواء مكسور ، لذا ترتفع درجة الحرارة الداخلية",1
6145,تأخر عن العمل وغضب رئيسه,تأخر عن العمل وسعد رئيسه,0
6146,بدأت الدموع تتسرب من فم الصبي,بدأت الدموع تتسرب من عيون الصبي,1
6147,لقد انسحبت أخيرًا لأنها تخطيت العديد من الفصول الدراسية في الفصل الدراسي,حصلت أخيرًا على درجات جيدة لأنها تخطيت العديد من الفصول الدراسية في الفصل الدراسي,0
6148,يثق به الناس حقًا لأنه غالبًا ما يخل بوعده,لا يصدقه الناس لأنه غالبًا ما يخل بوعده,1
6149,النظر إلى النباتات الخضراء يساعد أكثر في تخفيف إرهاق العين,إن مشاهدة جهاز الكمبيوتر الخاص بك لفترة طويلة أمر جيد لعينيك,0
6150,من المفترض أن تشتري تذاكر بمجرد وصولك إلى الحافلة,من المفترض أن تشتري تذاكر بعد النزول من الحافلة,0
